Accuracy@1,Accuracy@5,Accuracy@10
368046,368046,419279
391384,413378,368046
391123,391384,413378
387718,391123,407017
382189,389967,408721
376990,389456,391384
374745,387718,391123
373195,382189,389967
371684,376990,389456
359332,374964,387718
354947,374745,382189
340806,373195,376990
324804,371998,374964
324190,371684,374745
318899,359332,373195
318397,354947,371998
317743,340806,371684
317139,353349,359332
314130,353100,354947
297013,349764,353457
274986,340323,340806
270033,339300,353349
269840,324804,353100
264869,324190,349764
260751,318899,340323
244321,322832,339300
216067,321641,282379
227295,318397,324804
184447,317743,324190
193348,317139,318899
220430,314130,324135
210848,311910,323634
159896,310704,322039
155148,309402,322832
129525,308093,321641
150271,297013,318397
152589,120375,317743
148409,289816,317139
148786,279120,314130
145322,274986,314365
145086,270033,311910
132591,269840,310144
120739,264869,310704
134541,261808,309402
,260751,308386
,186884,308093
,244321,297013
,216067,120375
,238666,289818
,229829,289816
,227295,287315
,230817,280783
,228633,279120
,184447,274986
,222437,272591
,193348,270033
,220430,269840
,210848,269578
,203384,264869
,171667,261808
,170102,260751
,165148,186884
,164288,192877
,149908,244321
,160496,216067
,161217,238666
,160167,229829
,159896,155347
,158573,227295
,148908,230817
,155148,228633
,129525,184447
,150271,222437
,152161,193348
,152388,220430
,152979,210848
,152873,203384
,152835,171667
,151991,170102
,152589,165148
,151938,164288
,148409,161502
,148786,149908
,146546,160496
,145322,161217
,145086,160167
,132591,159896
,120739,158573
,144717,148908
,141956,155238
,129704,155148
,136665,129525
,134541,150271
,,152161
,,152388
,,152979
,,152873
,,152835
,,152631
,,151991
,,152589
,,151938
,,151673
,,151182
,,148409
,,148693
,,148786
,,136707
,,146546
,,122580
,,145322
,,145086
,,132591
,,120739
,,144717
,,143930
,,142466
,,141956
,,129704
,,140357
,,138540
,,136665
,,134541
